item name,item number,price,stock
Sargent 10XU94 LL BSP Cylindrical Lock,SAR_10XU94LLBSP,336.38,8
Kwikset 966LSLSQT-11P.UNIV 966lslsqt-11p.univsquare,KWI_966LSLSQT11PUNIV,46.33,12
HID 5355AGK09 Card Reader,HID_5355AGK09,459.53,12
FCBP SW300-2CA Power Supply,FCB_SW3002CA,419.40,13
Sargent 10XU93 LL 10BE Cylindrical Lock,SAR_10XU93LL10BE,167.90,40
Baldwin 85353050ACRH Right Hand Boulder Sectional Active Handleset Bottom Grip with Beavertail Lever and Arch Rose Antique Brass Finish,BAL_85353050ACRH,274.79,2
"Alarm Lock NETHIDNSPAK Trilogy Networx HID Narrow Stile Proximity Point Reader, Control Panel with Door Position Switch with RX, Remote Release, and Battery Backup and Plug in Transformer.",ALL_NETHIDNSPAK,555.78,1
Securitron LML2 Relay,STR_LML2,111.72,15176182
PHI 05214-56-000 Precision Hardware Inc Electrical Accessories,PHI_0521456000,32.41,7
Trimco 1270WV630 1270wv630e Scw Pk,TRC_1270WV630,3.71,111
Altronix VB1T Power Supply,ALT_VB1T,34.58,35
Kwikset 83031-007 10230 Rc Full Lip Stk Ul 51-4/11p,KWI_83031007,6.18,10
Baldwin FDTRATAR055 Bwr Full Dummy Traditional 141 Traditional Arch,BAL_FDTRATAR055,93.24,2
HID 2052PKNMN Proxcard,HID_2052PKNMN,9.59,59
HID 5355AGK00 Card Reader,HID_5355AGK00,459.53,99
Schlage 653-0505 NS Keyswitch,SCH_6530505NS,224.58,16777778
Schlage MGK 626 Card Reader,SCH_MGK626,642.60,31
Baldwin 85320033ENTR 85320033entr,BAL_85320033ENTR,358.15,4
Kwikset 258RDT-514S.STRKP 258 Rdt 514 Smt 6al Rcs/5303 K3wn Deadbolt Ka3,KWI_258RDT514SSTRKP,52.34,91
